year,month,miles
1963,1,6827
1963,2,6178
1963,3,7084
1963,4,8162
1963,5,8462
1963,6,9644
1963,7,10466
1963,8,10748
1963,9,9963
1963,10,8194
1963,11,6848
1963,12,7027
1964,1,7269
1964,2,6775
1964,3,7819
1964,4,8371
1964,5,9069
1964,6,10248
1964,7,11030
1964,8,10882
1964,9,10333
1964,10,9109
1964,11,7685
1964,12,7602
1965,1,8350
1965,2,7829
1965,3,8829
1965,4,9948
1965,5,10638
1965,6,11253
1965,7,11424
1965,8,11391
1965,9,10665
1965,10,9396
1965,11,7775
1965,12,7933
1966,1,8186
1966,2,7444
1966,3,8484
1966,4,9864
1966,5,10252
1966,6,12282
1966,7,11637
1966,8,11577
1966,9,12417
1966,10,9637
1966,11,8094
1966,12,9280
1967,1,8334
1967,2,7899
1967,3,9994
1967,4,10078
1967,5,10801
1967,6,12950
1967,7,12222
1967,8,12246
1967,9,13281
1967,10,10366
1967,11,8730
1967,12,9614
1968,1,8639
1968,2,8772
1968,3,10894
1968,4,10455
1968,5,11179
1968,6,10588
1968,7,10794
1968,8,12770
1968,9,13812
1968,10,10857
1968,11,9290
1968,12,10925
1969,1,9491
1969,2,8919
1969,3,11607
1969,4,8852
1969,5,12537
1969,6,14759
1969,7,13667
1969,8,13731
1969,9,15110
1969,10,12185
1969,11,10645
1969,12,12161
1970,1,10840
1970,2,10436
1970,3,13589
1970,4,13402
1970,5,13103
1970,6,14933
1970,7,14147
1970,8,14057
1970,9,16234
1970,10,12389
1970,11,11595
1970,12,12772
1971,1,
1971,2,
1971,3,
1971,4,
1971,5,
1971,6,
1971,7,
1971,8,
1971,9,
1971,10,
1971,11,
1971,12,
1972,1,
1972,2,
1972,3,
1972,4,
1972,5,
1972,6,
1972,7,
1972,8,
1972,9,
1972,10,
1972,11,
1972,12,
1973,1,
1973,2,
1973,3,
1973,4,
1973,5,
1973,6,
1973,7,
1973,8,
1973,9,
1973,10,
1973,11,
1973,12,
1974,1,
1974,2,
1974,3,
1974,4,
1974,5,
1974,6,
1974,7,
1974,8,
1974,9,
1974,10,
1974,11,
1974,12,
1975,1,
1975,2,
1975,3,
1975,4,
1975,5,
1975,6,
1975,7,
1975,8,
1975,9,
1975,10,
1975,11,
1975,12,
1976,1,
1976,2,
1976,3,
1976,4,
1976,5,
1976,6,
1976,7,
1976,8,
1976,9,
1976,10,
1976,11,
1976,12,
1977,1,
1977,2,
1977,3,
1977,4,
1977,5,
1977,6,
1977,7,
1977,8,
1977,9,
1977,10,
1977,11,
1977,12,
1978,1,
1978,2,
1978,3,
1978,4,
1978,5,
1978,6,
1978,7,
1978,8,
1978,9,
1978,10,
1978,11,
1978,12,
